Intitulé du poste,Les Études,Spécialités,Première générale,Première Technologique
Vendeur / vendeuse en animalerie,Les études  Après la 3e3 ans pour préparer le bac pro technicien conseil-vente en animalerie.Après le bac2 ans pour obtenir le BTSA technico-commercial (option univers de jardin et animaux de compagnie).    bac ou équivalent    Bac pro conduite et gestion d'une entreprise du secteur canin et félin     Bac pro technicien conseil-vente en animalerie    bac + 2    BTSA technico-commercial option univers jardins et animaux de compagnie,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Archiviste,"Les études  Après le bac3 ans pour préparer le BUT information communication, parcours métiers du livre et du patrimoine ; une licence pro métiers de l'information : archives, médiation et patrimoine ; 5 ans pour devenir conservateur avec le master archives, le diplôme d'archiviste-paléographe de l'École nationale des chartes (accès sur concours post-prépa), le diplôme de conservateur du patrimoine de l'Institut national du patrimoine ou le diplôme de gestion de patrimoines audiovisuels de l'Ina Sup.    bac + 3    BUT information-communication parcours métiers du livre et du patrimoine     Licence pro mention métiers de l'information : archives, médiation et patrimoine    bac + 5    Master mention archives     Diplôme d'archiviste paléographe     Formation des conservateurs spécialité archéologie, archives, inventaire et monuments historiques, musées, patrimoine scientifique technique et naturel     Gestion de patrimoines audiovisuels (INA)",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Directeur / directrice de restaurant,"Les études  Après la 3e3 ans d'études pour préparer le bac professionnel commercialisation et services en restauration ou cuisine ; ou le bac sciences et technologies de l'hôtellerie et de la restauration (STHR), mieux adapté pour une poursuite d'étude en BTS.Après le bac2 ans d'études pour obtenir le BTS management en hôtellerie restauration, options management d'unité de restauration ou management d'unité de production culinaire ; éventuellement complété par une licence professionnelle métiers des arts culinaires et des arts de la table ou organisation et gestion des établissements hôteliers et de restauration (en 1 an).    bac + 3    Licence pro mention métiers des arts culinaires et des arts de la table     Licence pro mention organisation et gestion des établissements hôteliers et de restauration     Diplôme manager dans l'hôtellerie restauration    bac ou équivalent    Bac pro Commercialisation et services en restauration     Bac pro Cuisine     Bac techno STHR Sciences et technologies de l'hôtellerie et de la restauration    bac + 2    BTS Management en hôtellerie restauration option A management d'unité de restauration     BTS Management en hôtellerie restauration option B management d'unité de production culinaire",Aucune spécialité indispensable,Arts,STHR Sciences et technologies de l'hôtellerie et de la restauration
"Chocolatier-confiseur /
 chocolatière-confiseuse","Les études  Après la 3e1 à 2 ans pour préparer le CAP chocolaterie-confiserie, suivi d'un CS pâtisserie-glacerie-chocolaterie-confiserie spécialisées (1 an)2 ans pour préparer le BTM pâtissier confiseur glacier traiteur.    CAP ou équivalent + 1 an    MC (futur CS) Pâtisserie glacerie chocolaterie confiserie spécialisées    CAP ou équivalent    CAP Chocolaterie-confiserie    bac ou équivalent    BTM chocolatier confiseur     BTM pâtissier confiseur glacier traiteur    bac + 2    BM pâtissier chocolatier confiseur glacier traiteur",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Attaché commercial / attachée
 commerciale","Les études  Après la 3e3 ans pour préparer le bac pro vente (prospection, négociation, suivi de clientèle). Si le recrutement concerne surtout des titulaires de bac + 2, des débouchés existent dès le bac professionnel.Après le bac2 ans pour obtenir un BTS, un BTSA ; 3 ans pour un BUT, ou une licence professionnelle dans le secteur du commerce ; 3 à 5 ans pour un diplôme d'école de commerce ; 5 ans pour un master marketing, vente.    bac + 4    Bachelor en sciences du management - Diplôme d'études supérieures de management international    bac + 3    BUT techniques de commercialisation parcours business développement et management de la relation client     BUT techniques de commercialisation parcours business international : achat et vente     BUT techniques de commercialisation parcours marketing digital, e-business et entrepreneuriat     BUT techniques de commercialisation parcours marketing et management du point de vente     BUT techniques de commercialisation parcours stratégie de marque et événementiel     Diplôme supérieur en marketing, commerce et gestion (EGC Lille)     Diplôme supérieur en marketing, vente et gestion (EGC Sup de V)     Licence pro mention commerce et distribution     Licence pro mention commercialisation de produits et services     Licence pro mention technico-commercial    bac + 2    BTSA technico-commercial option alimentation et boissons     BTSA technico-commercial option biens et services pour l'agriculture     BTSA technico-commercial option produits de la filière forêt bois     BTSA technico-commercial option univers jardins et animaux de compagnie     BTSA technico-commercial option vins, bières et spiritueux     BTS Conseil et commercialisation de solutions techniques     BTS Management commercial opérationnel     BTS négociation et digitalisation de la relation client     Attaché commercial (réseau Négoventis)     Négociateur immobilier    bac + 5    Master mention marketing, vente     Diplôme du programme grande école d'Audencia     Diplôme du programme grande école de BSB     Diplôme du programme grande école de l'ICD     Diplôme du programme grande école de SCBS     Diplôme du programme grande école de SKEMA BS",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Élagueur / élagueuse,"Les études  Après la 3e2 ans pour préparer un CAP agricole ; 3 ans pour un bac professionnel agricole, complété par le CS (certificat de spécialisation) arboriste élagueur (1 an).    bac + 1    CS arboriste élagueur",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Ingénieur biomédical / ingénieure
 biomédicale",Les études  Après le bacBac + 5 : master ou diplôme d'ingénieur en génie biomédical.    bac + 5    Diplôme d'ingénieur de l'École européenne d'ingénieurs en génie des matériaux de l'université de Lorraine     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Lyon I spécialité génie biomédical     Diplôme d'ingénieur de l'École polytechnique universitaire de Marseille de l'université d'Aix-Marseille spécialité génie biomédical     Diplôme d'ingénieur de l'Institut supérieur d'ingénieurs de Franche Comté de l'université de Besançon spécialité génie biomédical     Diplôme d'ingénieur de l'Institut supérieur des biotechnologies de Paris     Diplôme d'ingénieur de l'université de technologie de Compiègne spécialité génie biologique     Diplôme d'ingénieur de l’École supérieure de biologie-biochimie-biotechnologies spécialité biotechnologie     Master mention biologie-santé,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Viticulteur / viticultrice,"Les études  Après la 3e2 ans d'études pour préparer un CAP agricole métiers de l'agriculture ou un BPA travaux de la vigne et du vin ; 3 ans d'études pour un bac professionnel conduite et gestion de l'entreprise vitivinicole.Après le bac2 ans d'études pour préparer un BTSA viticulture-oenologie. Certaines écoles d'ingénieurs comme Montpellier SupAgro, Bordeaux Science Agro proposent des spécialisations en viticulture-oenologie ; éventuellement un diplôme national d'oenologue (DNO).    CAP ou équivalent    BPA travaux de la vigne et du vin spécialité travaux de la cave     BPA travaux de la vigne et du vin spécialité travaux de la vigne     CAP agricole métiers de l'agriculture    bac ou équivalent    Bac pro conduite et gestion de l'entreprise vitivinicole     Bac pro technicien conseil vente en alimentation (produits alimentaires et boissons)     BP responsable d'entreprise agricole    bac + 2    BTSA viticulture-oenologie    bac + 5    Diplôme d'ingénieur de l'École nationale supérieure agronomique de Toulouse de l'INP de Toulouse     Diplôme d'ingénieur de l'École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine     Diplôme national d'oenologue",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Accompagnateur / accompagnatrice
 de tourisme équestre","Les études  Après la 3eCQP animateur soigneur assistant, mention tourisme équestre.Après le bac6 à 18 mois pour obtenir le titre d'accompagnateur de tourisme équestre de la FFE (Fédération française d'équitation).12 à 18 mois pour le BPJEPS activités équestres.CQP organisateur de randonnées équestres.    bac + 3    TP responsable de développement touristique territorial    bac ou équivalent    BPJEPS spécialité éducateur sportif mention activités équestres option approfondissement technique     BPJEPS spécialité éducateur sportif mention activités équestres option équitation d'extérieur     BPJEPS spécialité éducateur sportif mention activités équestres option initiation poney, cheval",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Technicien / technicienne
 de fabrication de mobilier
 et de menuiserie",Les études  Durée des étudesAprès la 3e3 ans d'études pour préparer le bac professionnel technicien de fabrication bois et matériaux associés; menuiserie aluminium-verre ou technicien menuisier-agenceur; ou le bac technologique STI2D (développement durable).Après le bac2 ans pour préparer le BTS développement et réalisation bois ; systèmes constructifs bois et habitat. Eventuellement complété par une licence pro ameublement ; métiers du bois... (en 1 an).    bac + 3    Licence pro mention bois et ameublement     Licence pro mention métiers du bois    bac ou équivalent    Bac pro Menuiserie aluminium-verre     Bac pro Technicien de fabrication bois et matériaux associés     Bac pro Technicien menuisier-agenceur    bac + 2    BTS Développement et réalisation bois     BTS Systèmes constructifs bois et habitat,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Contremaître,"Les études  Après le bac2 ans pour obtenir un BTS (pilotage de procédés (PP) principalement) ; conception des processus de réalisation de produits (CPRP) ; études de réalisation d'un projet de communication (ERPC), option B études de réalisation de produits imprimés). 3 ans pour obtenir le BUT qualité, logistique industrielle et organisation, une licence professionnelle en management de production. Il existe aussi un CQPI (certificat de qualification professionnelle interbranches) animateur/animatrice d'équipe, accessible par la formation continue.    bac + 4    Responsable de production et de projets industriels    bac + 3    Licence pro mention métiers de l'industrie : gestion de la production industrielle     FCIL Technicien supérieur spécialisé en productique    bac + 2    BTS Assistance technique d'ingénieur     BTS Conception des processus de réalisation de produits option A production unitaire     BTS Conception des processus de réalisation de produits option B production sérielle     BTS Développement et réalisation bois     BTS Pilotage de procédés",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Spécialiste en shiatsu,"Les études  Durée des étudesAprès la 3e3 ans de formation pratique et théorique dont 500 h de cours pour se présenter au titre professionnel de spécialiste en shiatsu. Attention : depuis 2020 et jusqu'à nouvel ordre le titre professionnel est suspendu, en attente de renouvellement.",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Technicien électronicien /
 technicienne électronicienne","Les études  Durée des étudesAprès le bac2 ans pour préparer le BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux. 3 ans pour obtenir le BUT génie électrique et informatique industrielle ou une licence professionnelle en électronique, énergie électrique, automatique...    bac + 3    BUT mesures physiques parcours matériaux et contrôles physico-chimiques     BUT mesures physiques parcours mesures et analyses environnementales     BUT mesures physiques parcours techniques d'instrumentation     Licence pro mention maintenance et technologie : électronique, instrumentation     Licence pro mention métiers de l'électronique : communication, systèmes embarqués     Licence pro mention métiers de l'électronique : fabrication de cartes et sous-ensembles électroniques     Licence pro mention métiers de l'électronique : microélectronique, optronique     FCIL Technicien en hyperfréquences    bac + 2    BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Responsable de fabrication en chimie,"Les études  Après le bacBac + 5 : diplôme d'ingénieur en génie des procédés, génie chimique... ou master en génie des procédés ; conception, formulation production de produits alimentaires innovants ; contrôle de l'environnement industriel ; procédés de production, qualité, et contrôle des produits de santé ; ingénierie chimique...    bac + 5    Diplôme d'ingénieur de l'École internationale du papier, de la communication imprimée et des biomatériaux de l'institut polytechnique de Grenoble     Diplôme d'ingénieur de l'École nationale supérieure des ingénieurs en arts chimiques et technologiques de l'INP de Toulouse spécialité génie des procédés     Diplôme d'ingénieur de l'École nationale supérieure en génie des technologies industrielles de l'université de Pau spécialité génie des procédés     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université de Nantes spécialité génie des procédés     Diplôme d'ingénieur de l'Ecole supérieure de chimie physique électronique de Lyon spécialité chimie et génie des procédés     Diplôme d'ingénieur de l'Institut national des sciences appliquées de Rouen spécialité chimie et et génie chimique     Diplôme d'ingénieur de l'Institut national des sciences appliquées de Toulouse spécialité génie des procédés et environnement     Diplôme d'ingénieur de l'université de technologie de Compiègne spécialité génie des procédés     Master mention chimie     Master mention chimie physique et analytique     Master mention génie des procédés et des bio-procédés",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Développeur / développeuse
 d'applications mobiles","Les études  Après le bac2 ans pour obtenir un BTS en informatique ; 3 ans pour le BUT informatique, le BUT métiers du multimédia et de l'internet, ou une licence pro métiers de l'informatique ; 5 ans pour un diplôme d'ingénieur ou un master en informatique mobile.    bac + 3    BUT informatique parcours administration, gestion et exploitation des données     BUT informatique parcours déploiement d'applications communicantes et sécurisées     BUT informatique parcours réalisation d'applications : conception, développement, validation     BUT métiers du multimédia et de l'internet parcours développement web et dispositifs interactifs     BUT réseaux et télécommunications parcours internet des objets et mobilité     BUT réseaux et télécommunications parcours réseaux opérateurs et multimédia     Licence pro mention métiers de l'informatique : applications web     Licence pro mention métiers de l'informatique : conception, développement et test de logiciels     Concepteur développeur de solutions digitales     Développeur de solutions digitales    bac + 2    BTS Services informatiques aux organisations option B solutions logicielles et applications métiers     Développeur d'applications multimédia     Développeur intégrateur web     Intégrateur-Développeur Web     TP développeur web et web mobile    bac + 5    Diplôme d'ingénieur de l'École nationale supérieure Mines-Télécom Lille Douai     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité informatique     Master mention informatique",Aucune spécialité indispensable,Mathématiques,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Vendeur-magasinier /
 vendeuse-magasinière en fournitures
 automobiles","Les études  Après la 3e2 ans pour préparer le CAP équipier polyvalent du commerce, éventuellement complété par un bac professionnel dans les secteurs de la logistique, du commerce, de la vente (2 ans) ou par le CQP (certificat de qualification professionelle) conseiller de vente confirmé pièces de rechange et accessoires.    CAP ou équivalent    CAP Équipier polyvalent du commerce    bac ou équivalent    Bac pro logistique     Bac pro Métiers du commerce et de la vente option A animation et gestion de l'espace commercial     Bac pro Métiers du commerce et de la vente option B prospection clientèle et valorisation de l'offre commerciale",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Psychanalyste,"Les études  Après le bacDe nombreux psychanalystes sont médecins psychiatres ou psychologues, mais la profession n'étant pas réglementée, il n'existe pas de formation obligatoire. Néanmoins, il est essentiel d'en acquérir une en psychologie à l'université et d'avoir effectué une analyse de plusieurs années, à raison de 3 à 4 séances hebdomadaires.5 ans pour obtenir un master en psychanalyse, psychologie (psychopathologie clinique psychanalytique ; psychopathologie clinique, psychopathologie et psychologie de la santé, par exemple) ; 10 ans d'études médicales. L'accès aux études de santé se fait après avoir validé une 1ière année de licence, avec option santé (LAS) ou un parcours spécifique ""accès santé"" (PASS) organisés dans les universités. La spécialisation ""psychiatrie"" se fait dans le cadre de 4 ans d'internat auquel les étudiants accèdent après les ECN (épreuves classantes nationales) en fin de 6e année et à l'issue duquel ils obtiennent le DES (diplôme d'études spécialisées).    bac + 5    Master mention psychanalyse     Master mention psychologie : psychopathologie clinique psychanalytique     Master mention psychologie clinique, psychopathologie et psychologie de la santé",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Anatomiste,"Les études  Après le bacBac + 9 et plus : DES (diplôme d'études spécialisées) anatomie et cytologie pathologiques ; chirurgie. DESV (diplôme d'études spécialisées vétérinaires) anatomie pathologique vétérinaire. Pour l'anatomie animale, diplôme d'État (DE) de vétérinaire avec une spécialisation.",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Agent / agente de transit,"Les études  Après la 3e3 ans pour préparer le bac pro logistique ou organisation de transport de marchandises.Après le bac2 ans pour obtenir le BTS gestion des transports et logistiques associée ; 3 ans pour le BUT management de la logistique et des transports, les diplômes phare du secteur. Le BTS commerce international est également apprécié des recruteurs. Ces diplômes peuvent être complétés par une licence professionnelle (1 an).    bac + 3    BUT management de la logistique et des transports parcours mobilité et supply chain connectées     BUT management de la logistique et des transports parcours mobilité et supply chain durables     Licence pro mention logistique et transports internationaux    bac ou équivalent    Bac pro logistique     Bac pro organisation de transport de marchandises    bac + 2    BTS gestion des transports et logistique associée",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Styliste,"Les études  Durée des étudesAprès le bac2 ans pour préparer un certificat d'école de stylisme, éventuellement complété par le DSAA design, mention mode (2 ans). 3 ans pour le DN Made mention mode. 5 ans pour le diplôme de l'Ensad, section vêtement ou un diplôme d'école de stylisme.    bac + 3    DN MADE mention mode     Certificat de spécialisation en mode, stylisme-modélisme     Programme intensif d'initiation et de perfectionnement styliste designer mode    bac + 5    DSAA Design mention mode     Diplôme national supérieur des arts décoratifs (ENSAD)",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Styliste,"Les études  Durée des étudesAprès le bac2 ans pour préparer un certificat d'école de stylisme, éventuellement complété par le DSAA design, mention mode (2 ans). 3 ans pour le DN Made mention mode. 5 ans pour le diplôme de l'Ensad, section vêtement ou un diplôme d'école de stylisme.    bac + 3    DN MADE mention mode     Certificat de spécialisation en mode, stylisme-modélisme     Programme intensif d'initiation et de perfectionnement styliste designer mode    bac + 5    DSAA Design mention mode     Diplôme national supérieur des arts décoratifs (ENSAD)",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Ingénieur technico-commercial /
 ingénieure technico-commerciale","Les études  Après le bacLes recruteurs donnent la préférence aux titulaires d'un bac+5 (école de commerce ou d'ingénieurs).    bac + 5    Diplôme d'ingénieur de CY Tech de CY Cergy Paris Université spécialité informatique     Diplôme d'ingénieur de l'École d'ingénieurs du Littoral Côte d'Opale de l'université du Littoral spécialité informatique     Diplôme d'ingénieur de l'École polytechnique universitaire de Lille de l'Université de Lille spécialité instrumentation     Diplôme d'ingénieur de l'École spéciale de mécanique et d'électricité     Diplôme d'ingénieur de l'École supérieure du bois     Diplôme d'ingénieur de l'Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement     Diplôme d'ingénieur de l'Institut supérieur des biotechnologies de Paris     Diplôme d'ingénieur du CESI     Master mention informatique     Master mention informatique et ingénierie des systèmes complexes     Master mention management des systèmes d'information     Master mention physique fondamentale et applications     Master mention réseaux et télécommunication     Diplôme d'ingénieur d'affaires industrielles     Diplôme du programme grande école de l'EDHEC     Diplôme du programme ingénieur d'affaires     Manager en ingénierie d'affaires",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Enseignant-chercheur /
 enseignante-chercheuse","Les études  Après le bac8 ans pour obtenir un doctorat, indispensable pour exercer le métier d'enseignant-chercheur et devenir maître de conférences ou professeur d'université. Il faut ensuite passer les concours de recrutement organisés par les établissements d'enseignement supérieur.",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Sellier / sellière,"Les études  Après la 3e2 ans pour préparer le CAP maroquinerie ; sellerie générale ; sellier harnacheur.3 ans pour préparer le bac professionnel métiers du cuir, option maroquinerie ou sellerie.    CAP ou équivalent    CAP Maroquinerie     CAP Sellerie générale     CAP Sellier harnacheur    bac ou équivalent    Bac pro Métiers du cuir option maroquinerie     Bac pro Métiers du cuir option sellerie garnissage",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Chirurgien-dentiste /
 chirurgienne-dentiste",Les études  Après le bac6 ans d'études médicales pour préparer le DE de docteur en chirurgie dentaire.    bac + 6    Diplôme d'Etat de docteur en chirurgie dentaire,Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Régleur / régleuse,Les études  Après la 3eBac pro plastiques et composites ; fonderie.Après le bacBTS europlastics et composites    bac ou équivalent    Bac pro Fonderie     Bac pro Plastiques et composites    bac + 2    BTS Conception des processus de réalisation de produits option A production unitaire     BTS Conception des processus de réalisation de produits option B production sérielle     BTS Europlastics et composites option conception outillage     BTS Europlastics et composites option pilotage et optimisation de la production,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Vendeur / vendeuse en magasin,"Les études  Après la 3e2 ans pour préparer un CAP dans le secteur du commerce ; 3 ans pour un bac professionnel dans le commerce ou la vente, éventuellement complété par le CS vendeur conseil en alimentation ou une FCIL (formation complémentaire d'initiative locale) du domaine (1 an).Après le bac2 ou 3 ans pour préparer un BTS ou un BUT dans le secteur commercial ; des formations en 1 an sont aussi possibles.    CAP ou équivalent + 1 an    MC (futur CS) vendeur conseil en alimentation    bac + 3    BUT techniques de commercialisation parcours business développement et management de la relation client     BUT techniques de commercialisation parcours business international : achat et vente     BUT techniques de commercialisation parcours marketing digital, e-business et entrepreneuriat     BUT techniques de commercialisation parcours marketing et management du point de vente     BUT techniques de commercialisation parcours stratégie de marque et événementiel     Licence pro mention management et gestion des organisations    bac + 1    FCIL Conseiller commercial en automobile    CAP ou équivalent    CAP agricole services aux personnes et vente en espace rural     CAP Équipier polyvalent du commerce    bac ou équivalent    Bac pro Métiers du commerce et de la vente option A animation et gestion de l'espace commercial     Bac pro technicien conseil vente en alimentation (produits alimentaires et boissons)     Bac pro technicien conseil-vente en animalerie     Bac pro technicien conseil vente univers jardinerie     BT Métiers de la musique     Vendeur-conseil en équipements de la maison connectée    bac + 2    BTS Management commercial opérationnel     BTS négociation et digitalisation de la relation client",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Inséminateur / inséminatrice,"Les études  Après la 3e3 ans pour préparer le bac pro conduite et gestion de l'entreprise agricole, c'est le diplôme de base, qui peut éventuellement être complété par un CS (certificat de spécialisation) en 1 an (conduite de l'élevage bovin lait ; conduite d'un élevage caprin ; conduite de l'élevage des équidés) ou le Cafti (certificat d'aptitude aux fonctions de technicien d'insémination), requis pour la mise en place de la semence bovine, ovine ou caprine.Après le bac2 ans pour obtenir un BTSA (analyse, conduite et stratégie de l'entreprise agricole ; productions animales), éventuellement complété par une licence pro (métiers du conseil en élevage parcours viande, lait ou porcin ; métiers du conseil en élevage, production laitière).     bac + 3    Licence pro mention productions animales    bac + 1    CS conduite d'un élevage bovin lait     CS conduite d'un élevage caprin     CS technicien spécialisé en transformation laitière    bac ou équivalent    Bac pro conduite et gestion de l'entreprise agricole    bac + 2    BTSA analyse, conduite et stratégie de l'entreprise agricole     BTSA productions animales",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
